timestamp,pm2.5_lrapa,pm2.5_lrapa_std,pm2.5_cf1_raw,pm2.5_cf1_raw_std,pm2.5_alt,pm2.5_alt_a_std,pm2.5_atm,pm2.5_atm_a_std,n_sensors,snowdepth,temperature_f,temperature_c,dewpoint_f,dewpoint_c,humidity,pressure_hpa,wind_speed_knots,wind_speed_mph,wind_speed_mps,wind_direction,precipitation_in,precipitation_mm,visibility_miles,visibility_km,pm2.5_lrapa_regulatory,year,month,day,hour,dayofweek,dayofyear,week,season,is_weekend,wind_dir_sin,wind_dir_cos,pm2.5_lrapa_rolling_mean_3h,pm2.5_lrapa_rolling_std_3h,pm2.5_lrapa_rolling_mean_6h,pm2.5_lrapa_rolling_std_6h,pm2.5_lrapa_rolling_mean_12h,pm2.5_lrapa_rolling_std_12h,pm2.5_lrapa_rolling_mean_24h,pm2.5_lrapa_rolling_std_24h,temperature_f_rolling_mean_3h,temperature_f_rolling_std_3h,temperature_f_rolling_mean_6h,temperature_f_rolling_std_6h,temperature_f_rolling_mean_12h,temperature_f_rolling_std_12h,temperature_f_rolling_mean_24h,temperature_f_rolling_std_24h,humidity_rolling_mean_3h,humidity_rolling_std_3h,humidity_rolling_mean_6h,humidity_rolling_std_6h,humidity_rolling_mean_12h,humidity_rolling_std_12h,humidity_rolling_mean_24h,humidity_rolling_std_24h,pm2.5_lrapa_lag_1h,pm2.5_lrapa_lag_3h,pm2.5_lrapa_lag_6h,pm2.5_lrapa_lag_12h,pm2.5_lrapa_lag_24h,temperature_f_lag_1h,temperature_f_lag_3h,temperature_f_lag_6h,temperature_f_lag_12h,temperature_f_lag_24h,humidity_lag_1h,humidity_lag_3h,humidity_lag_6h,humidity_lag_12h,humidity_lag_24h,wind_speed_mph_lag_1h,wind_speed_mph_lag_3h,wind_speed_mph_lag_6h,wind_speed_mph_lag_12h,wind_speed_mph_lag_24h,pressure_hpa_lag_1h,pressure_hpa_lag_3h,pressure_hpa_lag_6h,pressure_hpa_lag_12h,pressure_hpa_lag_24h,event
2022-08-13 05:00:00-07:00,0.9991891891891892,1.0122894249570524,3.072972972972973,2.317403797433749,2.675675675675676,1.516832482768213,3.072972972972973,2.317403797433749,37,,50.0,10.0,48.0,8.88888888888889,92.8,1022.2,5.0,5.7539,2.57222,180.0,0.0,0.0,10.0,16.0934,2.8275,2022,8,13,5,5,225,32,summer,1,1.2246467991473532e-16,-1.0,0.8986321138952592,0.08714469225918163,0.7757825436772805,0.15985161221824565,0.7112560941508215,0.2400537672317457,0.9805889312895891,0.414780582940509,51.99999999999999,1.9999999999999944,52.5,1.87082869339058,58.583333333333336,7.501010032999113,63.4375,8.786492226831523,90.60333333333335,1.938977393715368,89.45666666666666,1.9746459598317456,75.98166666666667,16.427155363401592,68.126875,18.086659376968278,0.851578947368421,0.7033333333333334,0.44897435897435894,1.618157894736842,0.25999999999999995,52.0,51.0,58.0,76.0,55.0,89.13,89.09,78.03,41.86,89.59,0.0,4.60312,4.60312,9.20624,6.904679999999999,1021.9,1021.8,1021.2,1018.4,1018.3,Cedar Creek Fire 2022
2022-08-13 06:00:00-07:00,1.0772972972972972,1.04444735160288,3.2270270270270274,2.389403534200376,2.7864864864864862,1.5691756792380875,3.2270270270270274,2.389403534200376,37,,51.0,10.555555555555555,49.0,9.444444444444445,92.14,1022.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0934,3.1175,2022,8,13,6,5,225,32,summer,1,0.0,1.0,0.9760218112849568,0.11462870168129426,0.8666141445088814,0.14825083796541516,0.7032238513817366,0.2242677213598345,1.0072498229504807,0.3985989294066227,50.99999999999999,0.9999999999999463,51.833333333333336,1.47196014439269,56.75,6.239536696087367,63.270833333333336,8.989098671587326,91.35666666666668,1.9563827164794014,90.37,1.66553294774188,79.81583333333333,14.019225408723736,68.23312499999999,18.22518585892576,0.9991891891891892,0.8451282051282052,0.5323076923076923,1.1736842105263157,0.4374358974358974,50.0,54.0,55.0,73.0,55.0,92.8,89.88,86.66,46.13,89.59,5.7539,5.7539,5.7539,11.5078,6.904679999999999,1022.2,1021.9,1021.5,1018.8,1018.7,Cedar Creek Fire 2022
2022-08-13 07:00:00-07:00,1.3655263157894737,1.1471697189839118,3.85,2.5682836839183247,3.2657894736842104,1.6870374346267922,3.8078947368421048,2.4586726345236234,38,,58.0,14.444444444444445,55.0,12.777777777777779,90.04,1022.9,3.0,3.4523399999999995,1.543332,210.0,0.0,0.0,10.0,16.0934,3.3825,2022,8,13,7,5,225,32,summer,1,-0.5000000000000001,-0.8660254037844386,1.147337600758641,0.1929506568770268,0.9736755480176532,0.23214320972751648,0.7512282373466489,0.29492812485233494,1.0249907698690592,0.40488949727656454,52.99999999999999,4.358898943540681,52.666666666666664,2.9439202887782256,55.833333333333336,4.951277765905948,63.229166666666664,9.012044074780919,91.66000000000003,1.4412494579378023,90.51333333333332,1.5773099462948037,83.10583333333334,10.790004177548461,68.50729166666666,18.51145150741097,1.0772972972972972,0.851578947368421,0.7231578947368421,0.7894736842105263,0.9397435897435897,51.0,52.0,53.0,69.0,59.0,92.14,89.13,89.18,50.56,83.46,0.0,0.0,4.60312,11.5078,6.904679999999999,1022.5,1021.9,1021.5,1019.4,1019.0,Cedar Creek Fire 2022
2022-08-13 08:00:00-07:00,1.3671052631578946,1.2603022114936857,3.8421052631578947,2.7818554549803594,3.305263157894737,1.8034422593835093,3.7552631578947366,2.456617908934531,38,,62.0,16.666666666666668,54.0,12.222222222222221,74.75,1022.9,3.0,3.4523399999999995,1.543332,170.0,0.0,0.0,10.0,16.0934,3.59,2022,8,13,8,5,225,32,summer,1,0.17364817766693028,-0.984807753012208,1.2699762920815427,0.16686677280997025,1.0843042029884133,0.23567867151022526,0.8127194654168243,0.3405678043128954,1.0441009250647408,0.4099424735411226,56.99999999999999,5.567764362830058,54.5,4.636809247749185,55.583333333333336,4.501683186892954,63.270833333333336,9.00359730845124,85.64333333333336,9.492156411129072,88.12333333333333,6.702592533242564,84.26,8.745917489164327,68.38354166666667,18.45703368220394,1.3655263157894737,0.9991891891891892,0.7033333333333334,0.6292105263157893,0.9084615384615384,58.0,50.0,51.0,65.0,61.0,90.04,92.8,89.09,60.9,77.72,3.4523399999999995,5.7539,4.60312,9.20624,6.904679999999999,1022.9,1022.2,1021.8,1020.2,1019.1,Cedar Creek Fire 2022
2022-08-13 09:00:00-07:00,1.3026315789473684,1.4558524654435216,3.6868421052631577,3.1590428804214405,3.218421052631579,2.1005604481427245,3.5657894736842106,2.6272250611716466,38,,65.0,18.333333333333332,53.0,11.666666666666666,65.56,1022.7,3.0,3.4523399999999995,1.543332,,0.0,0.0,10.0,16.0934,3.6225,2022,8,13,9,5,225,32,summer,1,,,1.345087719298233,0.03677657521799486,1.1605547652916073,0.21600878531002285,0.8789913952413858,0.35289989788204024,1.051165702392676,0.41299219026121514,61.66666666666666,3.5118845842843616,56.333333333333336,6.282250127675435,55.75,4.826536495817437,63.229166666666664,8.99272552226728,76.78333333333336,12.366019300216943,84.07000000000001,11.243351813405543,84.11583333333333,9.059708462430796,68.39812500000001,18.454555276731885,1.3671052631578946,1.0772972972972972,0.8451282051282052,0.5073684210526316,1.133076923076923,62.0,51.0,54.0,63.0,66.0,74.75,92.14,89.88,67.29,65.21,3.4523399999999995,0.0,5.7539,8.05546,8.05546,1022.9,1022.5,1021.9,1020.9,1019.2,Cedar Creek Fire 2022
2022-08-13 10:00:00-07:00,1.0013157894736842,1.4430488951515148,3.0631578947368423,3.108438475855559,2.7736842105263158,2.0931915642407932,2.95,2.515653695068841,38,,69.0,20.555555555555557,53.0,11.666666666666666,56.7,1022.7,4.0,4.60312,2.057776,340.0,0.0,0.0,10.0,16.0934,3.4275,2022,8,13,10,5,225,32,summer,1,-0.3420201433256686,0.9396926207859084,1.2236842105263033,0.1952562427326008,1.1855109056424846,0.17857946039034808,0.9347954888086373,0.3086556559994348,1.0368081337916863,0.408262995822948,65.33333333333333,3.5118845842844086,59.166666666666664,7.62670745909901,56.5,6.0827625302984485,63.3125,9.03833923278792,65.67000000000002,9.025502756079755,78.665,15.364204828106342,82.83,11.642355275614749,68.126875,18.58153324818103,1.3026315789473684,1.3655263157894737,0.851578947368421,0.3316666666666666,1.3458974358974358,65.0,58.0,52.0,60.0,67.0,65.56,90.04,89.13,72.13,63.21,3.4523399999999995,3.4523399999999995,0.0,0.0,10.357019999999999,1022.7,1022.9,1021.9,1021.2,1019.4,Cedar Creek Fire 2022
2022-08-13 11:00:00-07:00,0.8934210526315788,0.7557680050006388,2.871052631578947,1.8362576358624507,2.6999999999999997,1.2011255982213944,2.807894736842105,1.654376926715078,38,,73.0,22.77777777777778,53.0,11.666666666666666,49.66,1022.3,7.0,8.05546,3.601108,30.0,0.0,0.0,10.0,16.0934,3.0324999999999998,2022,8,13,11,5,225,32,summer,1,0.49999999999999994,0.8660254037844387,1.065789473684198,0.21208714247888782,1.1678828828828829,0.20405358877406607,0.9718327132800723,0.26920422386283993,1.0112348656855235,0.3965736036951398,68.99999999999999,4.0000000000001945,63.0,7.874007874012302,57.75,7.735690602067234,63.5625,9.22580560874939,57.30666666666669,7.967341672938067,71.47500000000001,17.387404349125884,80.46583333333334,15.07896274364525,67.64770833333333,18.914298018164036,1.0013157894736842,1.3671052631578946,0.9991891891891892,0.44897435897435894,1.507179487179487,69.0,62.0,50.0,58.0,67.0,56.7,74.75,92.8,78.03,61.16,4.60312,3.4523399999999995,5.7539,4.60312,8.05546,1022.7,1022.9,1022.2,1021.2,1019.3,Cedar Creek Fire 2022
2022-08-13 12:00:00-07:00,1.0592105263157894,1.184086788224733,3.2289473684210526,2.587799638713945,2.960526315789474,1.7315107407217285,3.123684210526316,2.102692509491981,38,,76.0,24.444444444444443,54.0,12.222222222222221,46.57,1021.6,3.0,3.4523399999999995,1.543332,,0.0,0.0,10.0,16.0934,3.055,2022,8,13,12,5,225,32,summer,1,,,0.984649122807005,0.08414196964485375,1.1648684210526314,0.20578568771568242,1.0157412827807468,0.23130010887947083,0.9985630820597926,0.38963187124599463,72.66666666666666,3.5118845842845294,67.16666666666667,6.794605703546902,59.5,9.278518690551339,63.895833333333336,9.532529166954465,50.97666666666669,5.191765916654439,63.88,16.484670454698115,77.12500000000001,17.780868421373068,67.05229166666668,19.35700490998392,0.8934210526315788,1.3026315789473684,1.0772972972972972,0.5323076923076923,1.3633333333333333,73.0,65.0,51.0,55.0,68.0,49.66,65.56,92.14,86.66,60.86,8.05546,3.4523399999999995,0.0,5.7539,6.904679999999999,1022.3,1022.7,1022.5,1021.5,1019.4,Cedar Creek Fire 2022
2022-08-13 13:00:00-07:00,0.8881578947368421,0.7602306025082407,2.865789473684211,1.8333658775507096,2.7289473684210526,1.1770113078372153,2.8263157894736843,1.700188258340237,38,,79.0,26.11111111111111,53.0,11.666666666666666,40.67,1021.1,5.0,5.7539,2.57222,10.0,0.0,0.0,10.0,16.0934,3.2625,2022,8,13,13,5,225,32,summer,1,0.17364817766693033,0.984807753012208,0.946929824561391,0.09727354483050536,1.0853070175438595,0.20497012925158034,1.0294912827807468,0.2167740499375535,0.9895488276738277,0.3895769946291804,75.99999999999999,3.0000000000003966,70.66666666666667,6.531972647422074,61.666666666666664,10.568678711029595,64.20833333333333,9.908183559526565,45.633333333333354,4.567606959156403,55.651666666666664,12.703129404467953,73.0825,20.14784993040655,66.57333333333334,19.87662154537254,1.0592105263157894,1.0013157894736842,1.3655263157894737,0.7231578947368421,1.1045,76.0,69.0,58.0,53.0,71.5,46.57,56.7,90.04,89.18,52.165,3.4523399999999995,4.60312,3.4523399999999995,4.60312,6.329289999999999,1021.6,1022.7,1022.9,1021.5,1019.1,Cedar Creek Fire 2022
2022-08-13 14:00:00-07:00,0.8723684210526316,1.2355378174848706,2.8105263157894735,2.695921792281737,2.6447368421052633,1.7719583559899854,2.694736842105263,2.1095596272132573,38,,80.0,26.666666666666668,52.0,11.11111111111111,37.67,1020.7,6.0,6.904679999999999,3.086664,340.0,0.0,0.0,10.0,16.0934,3.2275,2022,8,13,14,5,225,32,summer,1,-0.3420201433256686,0.9396926207859084,0.9399122807017419,0.10361650810100313,1.0028508771929825,0.16443982095715767,1.0435775400906884,0.19836339241159148,0.9750107597476019,0.3870554296802655,78.33333333333333,2.0816659994667694,73.66666666666667,5.853773711604205,64.08333333333333,11.204368736697226,64.41666666666667,10.193419303719754,41.636666666666684,4.528060659193235,49.471666666666664,10.35651566245397,68.7975,21.83151355474265,66.285,20.255951782345175,0.8881578947368421,0.8934210526315788,1.3671052631578946,0.7033333333333334,1.2212820512820513,79.0,73.0,62.0,51.0,75.0,40.67,49.66,74.75,89.09,44.59,5.7539,8.05546,3.4523399999999995,4.60312,11.5078,1021.1,1022.3,1022.9,1021.8,1018.8,Cedar Creek Fire 2022
2022-08-13 15:00:00-07:00,0.5594736842105262,0.42122695537846466,2.142105263157895,1.2977384859090015,2.1842105263157894,0.8228251647695844,2.142105263157895,1.2977384859090015,38,,82.0,27.77777777777778,51.0,10.555555555555555,34.25,1020.3,4.0,4.60312,2.057776,,0.0,0.0,10.0,16.0934,3.2025,2022,8,13,15,5,225,32,summer,1,,,0.7733333333333209,0.18537607542088008,0.8789912280701754,0.1731299301736808,1.0197729966808817,0.23760221135088808,0.9318584880426987,0.37236660288040896,80.33333333333333,1.5275252316528838,76.5,4.847679857416353,66.41666666666667,11.812615239136385,64.625,10.508019711671027,37.53000000000002,3.2122889035700957,44.25333333333333,8.315837099573983,64.16166666666666,22.83126119772608,65.97375,20.702299139803536,0.8723684210526316,1.0592105263157894,1.3026315789473684,0.8451282051282052,1.595128205128205,80.0,76.0,65.0,54.0,77.0,37.67,46.57,65.56,89.88,41.72,6.904679999999999,3.4523399999999995,3.4523399999999995,5.7539,8.05546,1020.7,1021.6,1022.7,1021.9,1018.4,Cedar Creek Fire 2022
2022-08-13 16:00:00-07:00,0.501578947368421,0.37894966017957227,2.044736842105263,1.2021821079886927,2.0763157894736843,0.7603108221184549,2.0421052631578944,1.2039645273905681,38,,83.0,28.333333333333332,51.0,10.555555555555555,33.27,1019.7,9.0,10.357019999999999,4.629996,340.0,0.0,0.0,10.0,16.0934,3.135,2022,8,13,16,5,225,32,summer,1,-0.3420201433256686,0.9396926207859084,0.6444736842105139,0.19947420578939445,0.7957017543859649,0.21712843035956278,0.9906063300142153,0.27814816529271724,0.87672157481368,0.3299424582839027,81.66666666666666,1.527525231652932,78.83333333333333,3.763863263545269,69.0,11.762807333440158,64.875,10.88002757349435,35.063333333333354,2.3100072149957698,40.348333333333336,6.633033745327136,59.50666666666666,22.971880966771554,65.62166666666667,21.1986208876009,0.5594736842105262,0.8881578947368421,1.0013157894736842,0.851578947368421,1.8248648648648647,82.0,79.0,69.0,52.0,77.0,34.25,40.67,56.7,89.13,41.72,4.60312,5.7539,4.60312,0.0,9.20624,1020.3,1021.1,1022.7,1021.9,1018.3,Cedar Creek Fire 2022
2022-08-13 17:00:00-07:00,0.45552631578947367,0.363568628923634,1.9473684210526316,1.1598548003499132,1.9710526315789476,0.756202423470831,1.9447368421052633,1.1624060248958117,38,,82.0,27.77777777777778,53.0,11.666666666666666,36.87,1019.3,11.0,12.658579999999999,5.6588840000000005,10.0,0.0,0.0,10.0,16.0934,3.0675,2022,8,13,17,5,225,32,summer,1,0.17364817766693033,0.984807753012208,0.5055263157894613,0.052085991064596895,0.722719298245614,0.24897205092179045,0.9453010905642389,0.31803896272237603,0.8282785923575396,0.30037533632362784,82.33333333333333,0.5773502691922993,80.33333333333333,2.581988897471257,71.66666666666667,10.637270098644256,65.125,11.210680078660904,34.79666666666669,1.8612182390392773,38.21666666666667,4.860315490443726,54.84583333333333,21.209073297801645,65.41375000000001,21.46461107973646,0.501578947368421,0.8723684210526316,0.8934210526315788,0.9991891891891892,1.618157894736842,83.0,80.0,73.0,50.0,76.0,33.27,37.67,49.66,92.8,41.86,10.357019999999999,6.904679999999999,8.05546,5.7539,9.20624,1019.7,1020.7,1022.3,1022.2,1018.4,Cedar Creek Fire 2022
2022-08-13 18:00:00-07:00,0.5857894736842105,1.4038049290428927,2.2078947368421056,2.9757925656916346,2.136842105263158,2.0327615423135494,2.0473684210526315,2.0730884183572993,38,,79.0,26.11111111111111,52.0,11.11111111111111,39.06,1019.1,10.0,11.5078,5.14444,20.0,0.0,0.0,10.0,16.0934,2.955,2022,8,13,18,5,225,32,summer,1,0.3420201433256687,0.9396926207859084,0.5142982456140226,0.0660564782117729,0.6438157894736842,0.18873487160991928,0.9043421052631483,0.33088456408708533,0.8037829783224519,0.29490440385427,81.33333333333333,2.0816659994668485,80.83333333333333,1.722401424367899,74.0,8.559949022787594,65.375,11.458099470604122,36.40000000000003,2.9234739608895817,36.965,2.815895949778649,50.42250000000001,18.019231708473185,65.11916666666667,21.786866390131618,0.45552631578947367,0.5594736842105262,1.0592105263157894,1.0772972972972972,1.1736842105263157,82.0,82.0,76.0,51.0,73.0,36.87,34.25,46.57,92.14,46.13,12.658579999999999,4.60312,3.4523399999999995,0.0,11.5078,1019.3,1020.3,1021.6,1022.5,1018.8,Cedar Creek Fire 2022
